word,positive,negative
my,3071,2481
ideal,167,0
perfect,226,4
day,589,274
off,236,209
would,1276,1843
be,1489,946
staying,184,0
at,889,645
home,563,71
all,452,340
and,3698,1930
relaxing,185,0
with,1357,943
nothing,179,34
to,4792,3051
stress,170,0
upon,170,169
the,3897,1891
moment,227,3
i,12564,9154
wake,173,168
up,1019,945
make,362,565
a,4731,2922
good,1465,408
cup,171,4
of,1393,1491
spearmint,168,0
tea,248,16
whip,167,0
some,1039,830
eggs,182,17
just,1372,2096
chill,168,8
after,216,19
that,2406,1473
get,575,563
cozy,167,0
by,437,63
watching,641,27
cute,737,155
movies,382,170
or,605,2250
series,222,170
binge,167,0
eating,234,33
snacks,176,1
order,168,3
in,1768,1320
pizza,261,28
later,194,6
evening,167,0
maybe,252,111
roam,221,0
around,287,31
apartment,175,18
catching,176,167
on,1395,1576
breeze,166,0
listening,273,174
music,523,695
then,297,58
go,843,524
back,240,65
sleep,185,48
ig,168,166
next,35,197
move,18,192
is,3414,1718
food,592,510
refill,0,166
drink,76,182
vibe,0,332
prolly,50,639
friend,183,190
who,134,528
vibes,0,166
same,93,202
alone,129,192
lmao,57,166
honestly,246,152
someone,46,319
does,131,249
gesture,14,152
out,476,600
nowhere,14,152
like,2044,1498
surprises,15,152
me,1399,1871
something,461,1185
ive,3,153
been,252,586
wanting,22,153
for,957,1023
long,98,245
time,378,477
but,985,1094
couldnt,1,152
buy,27,168
it,2195,2450
cause,353,336
was,479,616
too,509,423
broke,23,158
happy,71,158
simultaneous,14,152
plans,20,155
hang,28,161
better,143,207
as,630,1180
well,527,282
dont,156,620
really,840,1502
remember,16,344
recent,0,166
event,12,169
usually,77,181
whenever,0,172
have,2034,1953
an,372,331
argument,0,166
mom,184,241
anyone,10,185
based,18,321
pissed,0,152
when,426,624
they,1249,479
cant,343,640
understand,36,193
pov,0,169
think,464,1158
about,767,1075
themselves,1,166
once,96,212
great,529,193
if,115,304
could,109,815
situation,71,325
what,1385,1121
going,158,236
through,22,176
putting,0,169
phone,7,191
aside,23,318
sitting,9,172
room,4,174
fairy,3,166
lights,55,167
turned,3,177
movie,112,328
no,345,629
one,299,314
disturbing,1,169
tbh,0,166
any,249,556
rn,18,319
laugh,12,335
very,340,412
weird,76,205
jokes,10,653
people,299,549
wouldnt,3,306
relatable,0,332
life,439,251
basically,15,172
stand,55,175
comedy,3,166
cracks,0,332
goofy,3,166
dark,16,504
humour,1,498
anything,684,76
disney,176,3
dreamworks,173,0
related,170,0
love,1587,93
2000s,166,0
romcoms,166,0
lets,161,1
honest,172,3
are,1671,498
funny,375,12
even,323,43
tho,169,21
might,367,354
find,207,38
them,478,286
cringe,167,1
cooked,155,14
oki,152,16
cool,570,72
flow,152,17
else,203,36
lol,310,197
not,673,1454
its,405,598
serious,0,172
considered,4,166
taboo,0,166
this,368,408
only,90,268
know,568,539
other,183,211
person,112,184
likes,9,172
otherwise,4,167
crack,0,166
type,19,181
public,1,175
setting,1,167
ngl,1,169
havent,3,154
adviced,0,152
lot,277,371
gotten,0,172
advices,0,304
im,338,313
stuck,113,186
can,627,642
term,0,167
best,205,184
worst,3,179
far,20,194
most,48,195
got,240,282
helped,116,169
feel,204,219
talking,20,170
hours,18,382
yapping,0,166
invisible,0,167
teleport,0,499
awkward,0,168
situations,111,167
disappear,0,167
want,195,306
stay,48,191
place,204,186
anymore,6,185
early,34,185
anywhere,19,175
wheeee,0,166
plushies,166,0
ones,514,12
ofc,166,0
smol,332,0
big,229,24
meh,169,1
able,22,167
figure,17,155
